point_id,tape_distance_m,X_utm_m,Y_utm_m,Z_m,lon,lat,is_gnss_tie,label
0,0.0,441078.928,4892151.328,0.0,8.26285198,44.18019634,True,start
1,1.0,441079.92,4892151.45,0.006,8.26286438,44.18019752,False,
2,2.0,441080.911,4892151.571,0.058,8.26287677,44.18019869,False,
3,3.0,441081.904,4892151.693,0.052,8.26288917,44.18019987,False,
4,3.4,441082.301,4892151.742,0.065,8.26289413,44.18020034,False,
5,3.7,441082.58,4892151.776,0.169,8.26289762,44.18020067,False,
6,4.0,441082.877,4892151.813,0.19,8.26290133,44.18020102,False,
7,5.0,441083.869,4892151.934,0.222,8.26291373,44.1802022,False,
8,6.0,441084.858,4892152.056,0.311,8.26292608,44.18020337,False,
9,6.9,441085.744,4892152.165,0.426,8.26293715,44.18020442,False,
