latitude,longtitude,depth,temperature,time
,,0.781,29.0,1782049920508
,,0.791,29.0,1782049920859
,,0.812,29.0,1782049921059
,,0.812,29.0,1782049921610
,,0.791,29.0,1782049922018
,,0.791,29.0,1782049922197
,,0.781,29.0,1782049922304
,,0.781,29.0,1782049922387
,,0.770,29.0,1782049922470
,,0.770,29.0,1782049922552
,,0.760,29.0,1782049922636
,,0.749,29.0,1782049922720
,,0.739,29.0,1782049922804
,,0.708,29.0,1782049922902
,,0.676,29.0,1782049923002
,,0.666,29.0,1782049923051
,,0.656,29.0,1782049923202
,,0.645,29.0,1782049923221
,,0.624,29.0,1782049923301
,,0.604,29.0,1782049923384
,,0.604,29.0,1782049923551
,,0.614,29.0,1782049923635
,,0.604,29.0,1782049923818
,,0.604,29.0,1782049923819
,,0.583,29.0,1782049923900
,,0.562,29.0,1782049924051
,,0.583,29.0,1782049924054
,,0.583,29.0,1782049924225
,,0.604,29.0,1782049924226
,,0.624,29.0,1782049924418
,,0.645,29.0,1782049924419
,,0.666,29.0,1782049924462
,,0.666,29.0,1782049924545
,,0.676,29.0,1782049924651
,,0.666,29.0,1782049924735
,,0.697,29.0,1782049924794
,,0.697,29.0,1782049924940
,,0.728,29.0,1782049924960
,,0.708,29.0,1782049925145
,,0.687,29.0,1782049925146
,,0.656,29.0,1782049925299
,,0.614,29.0,1782049925382
,,0.572,29.0,1782049925458
,,0.541,29.0,1782049925541
,,0.510,29.0,1782049925624
,,0.468,29.0,1782049925707
,,0.427,29.0,1782049925791
,,0.385,29.0,1782049925902
,,0.354,29.0,1782049925955
,,0.312,29.0,1782049926038
,,0.302,29.0,1782049926121
,,0.291,29.0,1782049926220
,,0.281,29.0,1782049926287
,,0.260,29.0,1782049926371
,,0.250,29.0,1782049926456
,,0.250,29.0,1782049926536
,,0.250,29.0,1782049926619
,,0.271,29.0,1782049926702
,,0.271,29.0,1782049926804
,,0.260,29.0,1782049926868
,,0.260,28.8,1782049926955
,,0.260,28.8,1782049927034
,,0.239,28.8,1782049928943
,,0.239,28.8,1782049929905
,,0.229,28.8,1782049929989
,,0.219,28.8,1782049930154
,,0.219,28.8,1782049930237
,,0.208,28.8,1782049930487
,,0.208,28.8,1782049930570
,,0.229,28.8,1782049930652
,,0.229,28.8,1782049930818
,,0.239,28.8,1782049931001
,,0.239,28.8,1782049931066
,,0.239,28.8,1782049931151
,,0.239,28.8,1782049931232
,,0.250,28.8,1782049931316
,,0.250,28.8,1782049931481
,,0.250,28.8,1782049931649
,,0.239,28.8,1782049931815
,,0.229,28.8,1782049931901
,,0.229,28.8,1782049934175
,,0.208,28.8,1782049934477
,,0.198,28.8,1782049935396
,,0.219,28.8,1782049936839
,,0.219,28.8,1782049937004
,,0.229,28.8,1782049937057
,,0.239,28.8,1782049937146
,,0.229,28.8,1782049937223
,,0.250,28.8,1782049937306
,,0.239,28.8,1782049937390
,,0.271,28.8,1782049937473
,,0.281,28.8,1782049937556
,,0.281,28.8,1782049937638
,,0.312,28.8,1782049937721
,,0.333,28.8,1782049937805
,,0.323,28.8,1782049937902
,,0.333,28.8,1782049937970
,,0.333,28.8,1782049938137
,,0.333,28.8,1782049938313
,,0.333,28.8,1782049938385
,,0.343,28.8,1782049938481
,,0.354,28.8,1782049938551
,,0.343,28.8,1782049938634
,,0.364,28.8,1782049938717
,,0.395,28.8,1782049938803
,,0.406,28.8,1782049938884
,,0.416,28.8,1782049939049
,,0.416,28.8,1782049939133
,,0.448,28.8,1782049939215
,,0.458,28.8,1782049939300
,,0.479,28.8,1782049939399
,,0.500,28.8,1782049939464
,,0.510,28.8,1782049939548
,,0.520,28.8,1782049939631
,,0.541,28.8,1782049939797
,,0.531,28.8,1782049939880
,,0.531,28.8,1782049939963
,,0.531,28.8,1782049940047
,,0.520,28.8,1782049940129
,,0.541,28.8,1782049940212
,,0.541,28.8,1782049940300
,,0.572,28.8,1782049940378
,,0.604,28.8,1782049940461
,,0.635,28.8,1782049940545
,,0.666,28.8,1782049940627
,,0.697,28.8,1782049940711
,,0.728,28.8,1782049940794
,,0.739,28.8,1782049940901
,,0.749,28.8,1782049940960
,,0.770,28.8,1782049941044
,,0.791,28.8,1782049941127
,,0.812,28.8,1782049941211
,,0.853,28.8,1782049941294
,,0.874,28.8,1782049941377
,,0.853,28.8,1782049941461
,,0.843,28.8,1782049941630
,,0.833,28.8,1782049941706
,,0.812,28.8,1782049941801
,,0.791,28.8,1782049941872
,,0.801,28.6,1782049941955
,,0.812,28.6,1782049942038
,,0.822,28.6,1782049942121
,,0.812,28.6,1782049942206
,,0.822,28.6,1782049942297
,,0.781,28.6,1782049942396
,,0.770,28.6,1782049942453
,,0.770,28.6,1782049942536
,,0.781,28.6,1782049942619
,,0.791,28.6,1782049942702
,,0.791,28.6,1782049942785
,,0.812,28.6,1782049942869
,,0.801,28.6,1782049942951
,,0.822,28.6,1782049943034
,,0.822,28.6,1782049943117
,,0.812,28.6,1782049943200
,,0.822,28.6,1782049943295
,,0.843,28.6,1782049943366
,,0.874,28.6,1782049943449
,,0.885,28.6,1782049943532
,,0.895,28.6,1782049943616
,,0.916,28.6,1782049943698
,,0.947,28.6,1782049943782
,,0.968,28.6,1782049943864
,,0.978,28.6,1782049943950
44.16166666666666,8.334806666666667,0.978,0.0,1782049944000
,,0.978,28.6,1782049944030
,,0.957,28.6,1782049944114
,,0.978,28.6,1782049944213
,,0.968,28.6,1782049944279
,,0.947,28.6,1782049944365
,,0.926,28.6,1782049944445
,,0.905,28.6,1782049944528
,,0.885,28.6,1782049944611
,,0.853,28.6,1782049944694
,,0.833,28.6,1782049944781
,,0.801,28.6,1782049944860
,,0.770,28.6,1782049944943
